
0,0.005044174019687318
1,0.002263302024388231
2,0.0013270552340865478
3,0.0008795123087543295
4,0.0006112689138890415
5,0.0004585448476724768
6,0.0003725715655485759
7,0.0002945033621072233
8,0.0006162002991268933
9,0.0002689997186413955
10,0.00015060896784683161
11,9.430028282721923e-05
12,6.588633955981166e-05
13,4.9561896246980306e-05
14,3.289488646577037e-05
15,3.135001555548699e-05
16,5.081171934010916e-05
17,1.8404789587984312e-05
18,8.559796510826215e-06
19,4.156517159189537e-06
20,2.879527847567155e-06
21,1.3136497369127333e-06
22,1.4228863809895739e-06
23,8.490187015703992e-07
24,2.84736647430891e-07
